Filename,countCatchAndReturnNull,countOverCatch,countCatchAndDoNothing,countNestedTryBlock,countGetCause,countKitchenSink,countDestructiveWrapping,countOverCatchAndAbort,countCatchGeneric,countInterruptedException,countIncompleteImplementation,countDummyHandler
ContainsWithSession.java,0,0,0,0,0,0,2,0,0,0,0,0
DeletingWithEM.java,0,0,0,0,0,0,2,0,0,0,0,0
DeletingWithSession.java,0,0,0,0,0,0,2,0,0,0,0,0
GetReferenceWithEM.java,0,0,0,0,0,0,2,0,0,0,0,0
GetReferenceWithSession.java,0,0,0,0,0,0,2,0,0,0,0,0
LoadWithEM.java,0,0,0,0,0,0,2,0,0,0,0,0
LoadWithSession.java,0,0,0,0,0,0,2,0,0,0,0,0
MakingPersistentWithEM.java,0,0,0,0,0,0,2,0,0,0,0,0
MakingPersistentWithSession.java,0,0,0,0,0,0,2,0,0,0,0,0
ManagedUpdateWithEM.java,0,0,0,0,0,0,2,0,0,0,0,0
ManagedUpdateWithSession.java,0,0,0,0,0,0,2,0,0,0,0,0
MergeWithEM.java,0,0,0,0,0,0,2,0,0,0,0,0
MergeWithSession.java,0,0,0,0,0,0,2,0,0,0,0,0
NaturalIdLoading.java,0,0,0,0,0,0,2,0,0,0,0,0
ReattachingWithSession1.java,0,0,0,0,0,0,2,0,0,0,0,0
ReattachingWithSession2.java,0,0,0,0,0,0,2,0,0,0,0,0
RefreshWithEM.java,0,0,0,0,0,0,2,0,0,0,0,0
RefreshWithSession.java,0,0,0,0,0,0,2,0,0,0,0,0
SimpleNaturalIdLoading.java,0,0,0,0,0,0,2,0,0,0,0,0
UnwrapWithEM.java,0,0,0,0,0,0,2,0,0,0,0,0
VisualizingMerge.java,0,0,0,0,0,0,2,0,0,0,0,0
CriteriaBuilder_query_creation_snippet.java,0,0,0,0,0,0,2,0,0,0,0,0
from_fetch_example_embedded_and_many2one.java,0,0,0,0,0,0,2,0,0,0,0,0
from_fetch_example_plural.java,0,0,0,0,0,0,2,0,0,0,0,0
from_join_example_embedded_and_many2one.java,0,0,0,0,0,0,2,0,0,0,0,0
from_join_example_plural.java,0,0,0,0,0,0,2,0,0,0,0,0
from_root_example.java,0,0,0,0,0,0,2,0,0,0,0,0
from_root_example_multiple.java,0,0,0,0,0,0,2,0,0,0,0,0
from_root_methods.java,0,0,0,0,0,0,2,0,0,0,0,0
parameter_example.java,0,0,0,0,0,0,2,0,0,0,0,0
select_attribute_example.java,0,0,0,0,0,0,2,0,0,0,0,0
select_multiple_values_array.java,0,0,0,0,0,0,2,0,0,0,0,0
select_multiple_values_array2.java,0,0,0,0,0,0,2,0,0,0,0,0
select_root_entity_example.java,0,0,0,0,0,0,2,0,0,0,0,0
select_tuple.java,0,0,0,0,0,0,2,0,0,0,0,0
select_wrapper.java,0,0,0,0,0,0,2,0,0,0,0,0
simplest_query.java,0,0,0,0,0,0,2,0,0,0,0,0
simplest_query2.java,0,0,0,0,0,0,2,0,0,0,0,0
statement_insert_example_named_id.java,0,0,0,0,0,0,2,0,0,0,0,0
statement_update_example_hql.java,0,0,0,0,0,0,2,0,0,0,0,0
statement_update_example_hql_versioned.java,0,0,0,0,0,0,2,0,0,0,0,0
statement_update_example_jpql.java,0,0,0,0,0,0,2,0,0,0,0,0
BootstrapServiceRegistryBuilder-example.java,0,0,0,0,0,0,2,0,0,0,0,0
register-event-listeners-example.java,0,0,0,0,0,0,2,0,0,0,0,0
database-identity.java,0,0,0,0,0,0,2,0,0,0,0,0
jvm-identity.java,0,0,0,0,0,0,2,0,0,0,0,0
batch_insert.java,0,0,0,0,0,0,2,0,0,0,0,0
bmt-idiom.java,0,0,0,0,0,0,2,0,0,0,0,0
browsing_cache.java,0,0,0,0,0,0,2,0,0,0,0,0
cache_providers_mapping.java,0,0,0,0,0,0,2,0,0,0,0,0
cmt-idiom.java,0,0,0,0,0,0,2,0,0,0,0,0
embedding_SchemaExport.java,0,0,0,0,0,0,2,0,0,0,0,0
evicting_from_second_level_cache.java,0,0,0,0,0,0,2,0,0,0,0,0
evicting_item.java,0,0,0,0,0,0,2,0,0,0,0,0
executeUpdate.java,0,0,0,0,0,0,2,0,0,0,0,0
flush_and_clear_session.java,0,0,0,0,0,0,2,0,0,0,0,0
hql_delete.java,0,0,0,0,0,0,2,0,0,0,0,0
hql_insert.java,0,0,0,0,0,0,2,0,0,0,0,0
letting_hibernate_find_mapping_files.java,0,0,0,0,0,0,2,0,0,0,0,0
opening_a_session.java,0,0,0,0,0,0,2,0,0,0,0,0
setCacheRegion.java,0,0,0,0,0,0,2,0,0,0,0,0
specifying_configuration_properties_programmatically.java,0,0,0,0,0,0,2,0,0,0,0,0
specify_mapping_files_directly.java,0,0,0,0,0,0,2,0,0,0,0,0
timestamp_version.java,0,0,0,0,0,0,2,0,0,0,0,0
transaction-bound-Session.java,0,0,0,0,0,0,2,0,0,0,0,0
updating_version.java,0,0,0,0,0,0,2,0,0,0,0,0
using_a_StatelessSession.java,0,0,0,0,0,0,2,0,0,0,0,0
using_scroll.java,0,0,0,0,0,0,2,0,0,0,0,0
version_annotation.java,0,0,0,0,0,0,2,0,0,0,0,0
BootstrapServiceRegistryBuilder-example.java,0,0,0,0,0,0,2,0,0,0,0,0
DisabledEventPublishingServiceImpl.java,0,0,0,0,0,0,2,0,0,0,0,0
EventPublishingService.java,0,0,0,0,0,0,2,0,0,0,0,0
EventPublishingServiceContributor.java,0,0,0,0,0,0,2,0,0,0,0,0
EventPublishingServiceImpl.java,0,0,0,0,0,0,2,0,0,0,0,0
EventPublishingServiceInitiator.java,0,0,0,0,0,0,2,0,0,0,0,0
ex1-direct.java,0,0,0,0,0,0,2,0,0,0,0,0
ex2-contributor.java,0,0,0,0,0,0,2,0,0,0,0,0
ex3-app.java,0,0,0,0,0,0,2,0,0,0,0,0
ex3-contributor.java,0,0,0,0,0,0,2,0,0,0,0,0
LatestAndGreatestConnectionProviderImpl.java,0,0,0,0,0,0,2,0,0,0,0,0
register-event-listeners-example.java,0,0,0,0,0,0,2,0,0,0,0,0
batch_insert.java,0,0,0,0,0,0,2,0,0,0,0,0
bmt-idiom.java,0,0,0,0,0,0,2,0,0,0,0,0
browsing_cache.java,0,0,0,0,0,0,2,0,0,0,0,0
cache_providers_mapping.java,0,0,0,0,0,0,2,0,0,0,0,0
cmt-idiom.java,0,0,0,0,0,0,2,0,0,0,0,0
embedding_SchemaExport.java,0,0,0,0,0,0,2,0,0,0,0,0
evicting_from_second_level_cache.java,0,0,0,0,0,0,2,0,0,0,0,0
evicting_item.java,0,0,0,0,0,0,2,0,0,0,0,0
executeUpdate.java,0,0,0,0,0,0,2,0,0,0,0,0
flush_and_clear_session.java,0,0,0,0,0,0,2,0,0,0,0,0
hql-insert.java,0,0,0,0,0,0,2,0,0,0,0,0
hql_delete.java,0,0,0,0,0,0,2,0,0,0,0,0
letting_hibernate_find_mapping_files.java,0,0,0,0,0,0,2,0,0,0,0,0
opening_a_session.java,0,0,0,0,0,0,2,0,0,0,0,0
setCacheRegion.java,0,0,0,0,0,0,2,0,0,0,0,0
specifying_configuration_properties_programmatically.java,0,0,0,0,0,0,2,0,0,0,0,0
specify_mapping_files_directly.java,0,0,0,0,0,0,2,0,0,0,0,0
timestamp_version.java,0,0,0,0,0,0,2,0,0,0,0,0
transaction-bound-Session.java,0,0,0,0,0,0,2,0,0,0,0,0
updating_version.java,0,0,0,0,0,0,2,0,0,0,0,0
using_a_StatelessSession.java,0,0,0,0,0,0,2,0,0,0,0,0
using_scroll.java,0,0,0,0,0,0,2,0,0,0,0,0
version_annotation.java,0,0,0,0,0,0,2,0,0,0,0,0
jacc-event-reg-example.java,0,0,0,0,0,0,2,0,0,0,0,0
BlobLocator.java,0,0,0,0,0,0,2,0,0,0,0,0
BlobMaterialized.java,0,0,0,0,0,0,2,0,0,0,0,0
ClobLocator.java,0,0,0,0,0,0,2,0,0,0,0,0
ClobMaterialized.java,0,0,0,0,0,0,2,0,0,0,0,0
ClobMaterializedCharArray.java,0,0,0,0,0,0,2,0,0,0,0,0
EnumAttributeConverter.java,0,0,0,0,0,0,2,0,0,0,0,0
EnumCustomType.java,0,0,0,0,0,0,2,0,0,0,0,0
EnumeratedOrdinal.java,0,0,0,0,0,0,2,0,0,0,0,0
EnumeratedString.java,0,0,0,0,0,0,2,0,0,0,0,0
ex1.java,0,0,0,0,0,0,2,0,0,0,0,0
ex2.java,0,0,0,0,0,0,2,0,0,0,0,0
ExplicitColumnNaming.java,0,0,0,0,0,0,2,0,0,0,0,0
explicitType.java,0,0,0,0,0,0,2,0,0,0,0,0
FizzywigType1.java,0,0,0,0,0,0,2,0,0,0,0,0
FizzywigType1_reg.java,0,0,0,0,0,0,2,0,0,0,0,0
FizzywigType2.java,0,0,0,0,0,0,2,0,0,0,0,0
FizzywigType2_reg.java,0,0,0,0,0,0,2,0,0,0,0,0
NCLOB_locator.java,0,0,0,0,0,0,2,0,0,0,0,0
NCLOB_materialized.java,0,0,0,0,0,0,2,0,0,0,0,0
NVARCHAR.java,0,0,0,0,0,0,2,0,0,0,0,0
Contact.java,0,0,0,0,0,0,2,0,0,0,0,0
DelimitedStringTagsExample.java,0,0,0,0,0,0,2,0,0,0,0,0
Address.java,0,0,0,0,0,0,2,0,0,0,0,0
component-safe-implicit-naming.java,0,0,0,0,0,0,2,0,0,0,0,0
Contact-AttributeOverride.java,0,0,0,0,0,0,2,0,0,0,0,0
Contact.java,0,0,0,0,0,0,2,0,0,0,0,0
Name.java,0,0,0,0,0,0,2,0,0,0,0,0
Person.java,0,0,0,0,0,0,2,0,0,0,0,0
Person_alt.java,0,0,0,0,0,0,2,0,0,0,0,0
Instant.java,0,0,0,0,0,0,2,0,0,0,0,0
SimpleEntity.java,0,0,0,0,0,0,2,0,0,0,0,0
SimpleEntityWithTable.java,0,0,0,0,0,0,2,0,0,0,0,0
Timestamp.java,0,0,0,0,0,0,2,0,0,0,0,0
Version.java,0,0,0,0,0,0,2,0,0,0,0,0
ConfiguredSequence.java,0,0,0,0,0,0,2,0,0,0,0,0
EmbeddedId1.java,0,0,0,0,0,0,2,0,0,0,0,0
EmbeddedId2.java,0,0,0,0,0,0,2,0,0,0,0,0
IdClass1.java,0,0,0,0,0,0,2,0,0,0,0,0
IdClass2.java,0,0,0,0,0,0,2,0,0,0,0,0
IdClass3.java,0,0,0,0,0,0,2,0,0,0,0,0
NamedSequence.java,0,0,0,0,0,0,2,0,0,0,0,0
SimpleAssigned.java,0,0,0,0,0,0,2,0,0,0,0,0
SimpleGenerated.java,0,0,0,0,0,0,2,0,0,0,0,0
UnnamedSequence.java,0,0,0,0,0,0,2,0,0,0,0,0
UnnamedTable.java,0,0,0,0,0,0,2,0,0,0,0,0
UUIDCustomVersionOneStrategy.java,0,0,0,0,0,0,2,0,0,0,0,0
UUIDRandom.java,0,0,0,0,0,0,2,0,0,0,0,0
MutableNaturalIdMapping.java,0,0,0,0,0,0,2,0,0,0,0,0
MutableNaturalIdSynchronization.java,0,0,0,0,0,0,2,0,0,0,0,0
NaturalIdCaching.java,0,0,0,0,0,0,2,0,0,0,0,0
NaturalIdLoadAccessUsage.java,0,0,0,0,0,0,2,0,0,0,0,0
NonSimpleNaturalIdMapping.java,0,0,0,0,0,0,2,0,0,0,0,0
SimpleBasicNaturalIdMapping.java,0,0,0,0,0,0,2,0,0,0,0,0
SimpleCompositeNaturalIdMapping.java,0,0,0,0,0,0,2,0,0,0,0,0
SimpleNaturalIdLoadAccessUsage.java,0,0,0,0,0,0,2,0,0,0,0,0
jpa1.java,0,0,0,0,0,0,2,0,0,0,0,0
jpa2.java,0,0,0,0,0,0,2,0,0,0,0,0
native1.java,0,0,0,0,0,0,2,0,0,0,0,0
native2.java,0,0,0,0,0,0,2,0,0,0,0,0
native3.java,0,0,0,0,0,0,2,0,0,0,0,0
native4.java,0,0,0,0,0,0,2,0,0,0,0,0
native5.java,0,0,0,0,0,0,2,0,0,0,0,0
native6.java,0,0,0,0,0,0,2,0,0,0,0,0
native7.java,0,0,0,0,0,0,2,0,0,0,0,0
native8.java,0,0,0,0,0,0,2,0,0,0,0,0
native9.java,0,0,0,0,0,0,2,0,0,0,0,0
listing1.java,0,0,0,0,0,0,2,0,0,0,0,0
listing10.java,0,0,0,0,0,0,2,0,0,0,0,0
listing2.java,0,0,0,0,0,0,2,0,0,0,0,0
listing3.java,0,0,0,0,0,0,2,0,0,0,0,0
listing4.java,0,0,0,0,0,0,2,0,0,0,0,0
listing5.java,0,0,0,0,0,0,2,0,0,0,0,0
listing6.java,0,0,0,0,0,0,2,0,0,0,0,0
listing7.java,0,0,0,0,0,0,2,0,0,0,0,0
listing8.java,0,0,0,0,0,0,2,0,0,0,0,0
listing9.java,0,0,0,0,0,0,2,0,0,0,0,0
BiDirManagementNormalJavaCorrect.java,0,0,0,0,0,0,2,0,0,0,0,0
BiDirManagementNormalJavaIncorrect.java,0,0,0,0,0,0,2,0,0,0,0,0
LazyGroupExample.java,0,0,0,0,0,0,2,0,0,0,0,0
AuditInterceptor.java,0,0,0,0,0,0,2,0,0,0,0,0
jacc-event-reg-example.java,0,0,0,0,0,0,2,0,0,0,0,0
JpaCallbacksExample.java,0,0,0,0,0,0,2,0,0,0,0,0
LoadListenerExample.java,0,0,0,0,0,0,2,0,0,0,0,0
SessionFactoryScopedExample.java,0,0,0,0,0,0,2,0,0,0,0,0
SessionScopedExample.java,0,0,0,0,0,0,2,0,0,0,0,0
Department.java,0,0,0,0,0,0,2,0,0,0,0,0
Employee.java,0,0,0,0,0,0,2,0,0,0,0,0
FetchOverrides.java,0,0,0,0,0,0,2,0,0,0,0,0
Login.java,0,0,0,0,0,0,2,0,0,0,0,0
LoginScalar.java,0,0,0,0,0,0,2,0,0,0,0,0
Project.java,0,0,0,0,0,0,2,0,0,0,0,0
ProjectsForAnEmployeeCriteria.java,0,0,0,0,0,0,2,0,0,0,0,0
ProjectsForAnEmployeeFetchProfile.java,0,0,0,0,0,0,2,0,0,0,0,0
ProjectsForAnEmployeeHql.java,0,0,0,0,0,0,2,0,0,0,0,0
timestamp_version.java,0,0,0,0,0,0,2,0,0,0,0,0
updating_version.java,0,0,0,0,0,0,2,0,0,0,0,0
version_annotation.java,0,0,0,0,0,0,2,0,0,0,0,0
MultiTenantConnectionProviderImpl-multi-cp.java,0,0,0,0,0,0,2,0,0,0,0,0
MultiTenantConnectionProviderImpl-single-cp.java,0,0,0,0,0,0,4,0,0,0,0,0
tenant-identifier-from-SessionFactory.java,0,0,0,0,0,0,4,0,0,0,0,0
NativeHibernateUtil.java,0,0,0,0,0,0,4,0,0,0,0,0
UnmanagedJPAHibernateUtil.java,0,0,0,0,0,0,4,0,0,0,0,0
CheckingLazinessWithHibernate.java,0,0,0,0,0,0,4,0,0,0,0,0
CheckingLazinessWithJPA.java,0,0,0,0,0,0,4,0,0,0,0,0
CheckingLazinessWithJPA2.java,0,0,0,0,0,0,4,0,0,0,0,0
ContainsWithEM.java,0,0,0,0,0,0,4,0,0,0,0,0
ContainsWithSession.java,0,0,0,0,0,0,4,0,0,0,0,0
DeletingWithEM.java,0,0,0,0,0,0,4,0,0,0,0,0
DeletingWithSession.java,0,0,0,0,0,0,4,0,0,0,0,0
GetReferenceWithEM.java,0,0,0,0,0,0,4,0,0,0,0,0
GetReferenceWithSession.java,0,0,0,0,0,0,4,0,0,0,0,0
LoadWithEM.java,0,0,0,0,0,0,4,0,0,0,0,0
LoadWithSession.java,0,0,0,0,0,0,4,0,0,0,0,0
MakingPersistentWithEM.java,0,0,0,0,0,0,4,0,0,0,0,0
MakingPersistentWithSession.java,0,0,0,0,0,0,4,0,0,0,0,0
ManagedUpdateWithEM.java,0,0,0,0,0,0,4,0,0,0,0,0
ManagedUpdateWithSession.java,0,0,0,0,0,0,4,0,0,0,0,0
MergeWithEM.java,0,0,0,0,0,0,4,0,0,0,0,0
MergeWithSession.java,0,0,0,0,0,0,4,0,0,0,0,0
NaturalIdLoading.java,0,0,0,0,0,0,4,0,0,0,0,0
ReattachingWithSession1.java,0,0,0,0,0,0,4,0,0,0,0,0
ReattachingWithSession2.java,0,0,0,0,0,0,4,0,0,0,0,0
RefreshWithEM.java,0,0,0,0,0,0,4,0,0,0,0,0
RefreshWithSession.java,0,0,0,0,0,0,4,0,0,0,0,0
SimpleNaturalIdLoading.java,0,0,0,0,0,0,4,0,0,0,0,0
UnwrapWithEM.java,0,0,0,0,0,0,4,0,0,0,0,0
VisualizingMerge.java,0,0,0,0,0,0,4,0,0,0,0,0
CriteriaBuilder_query_creation_snippet.java,0,0,0,0,0,0,4,0,0,0,0,0
from_fetch_example_embedded_and_many2one.java,0,0,0,0,0,0,4,0,0,0,0,0
from_fetch_example_plural.java,0,0,0,0,0,0,4,0,0,0,0,0
from_join_example_embedded_and_many2one.java,0,0,0,0,0,0,4,0,0,0,0,0
from_join_example_plural.java,0,0,0,0,0,0,4,0,0,0,0,0
from_root_example.java,0,0,0,0,0,0,4,0,0,0,0,0
from_root_example_multiple.java,0,0,0,0,0,0,4,0,0,0,0,0
from_root_methods.java,0,0,0,0,0,0,4,0,0,0,0,0
parameter_example.java,0,0,0,0,0,0,4,0,0,0,0,0
select_attribute_example.java,0,0,0,0,0,0,4,0,0,0,0,0
select_multiple_values_array.java,0,0,0,0,0,0,4,0,0,0,0,0
select_multiple_values_array2.java,0,0,0,0,0,0,4,0,0,0,0,0
select_root_entity_example.java,0,0,0,0,0,0,4,0,0,0,0,0
select_tuple.java,0,0,0,0,0,0,4,0,0,0,0,0
select_wrapper.java,0,0,0,0,0,0,4,0,0,0,0,0
BasicQueryUsage.java,0,0,0,0,0,0,4,0,0,0,0,0
CreateQuery.java,0,0,0,0,0,0,4,0,0,0,0,0
GetNamedQuery.java,0,0,0,0,0,0,4,0,0,0,0,0
List.java,0,0,0,0,0,0,4,0,0,0,0,0
SetParameter.java,0,0,0,0,0,0,4,0,0,0,0,0
SetParameterInferredType.java,0,0,0,0,0,0,4,0,0,0,0,0
SetParameterShortForms.java,0,0,0,0,0,0,4,0,0,0,0,0
UniqueResult.java,0,0,0,0,0,0,4,0,0,0,0,0
BasicQueryUsage.java,0,0,0,0,0,0,4,0,0,0,0,0
CreateNamedQuery.java,0,0,0,0,0,0,4,0,0,0,0,0
CreateQuery.java,0,0,0,0,0,0,4,0,0,0,0,0
SetParameter.java,0,0,0,0,0,0,4,0,0,0,0,0
simplest_query.java,0,0,0,0,0,0,4,0,0,0,0,0
simplest_query2.java,0,0,0,0,0,0,4,0,0,0,0,0
statement_insert_example_named_id.java,0,0,0,0,0,0,4,0,0,0,0,0
statement_update_example_hql.java,0,0,0,0,0,0,4,0,0,0,0,0
statement_update_example_hql_versioned.java,0,0,0,0,0,0,4,0,0,0,0,0
statement_update_example_jpql.java,0,0,0,0,0,0,4,0,0,0,0,0
bmt.java,0,0,0,0,0,0,4,0,0,0,0,0
cmt.java,0,0,0,0,0,0,4,0,0,0,0,0
jdbc.java,0,0,0,0,0,0,4,0,0,0,0,0
AddressType.java,0,0,0,0,0,0,4,0,0,0,0,0
Call.java,0,0,0,0,0,0,4,0,0,0,0,0
CreditCardPayment.java,0,0,0,0,0,0,4,0,0,0,0,0
Partner.java,0,0,0,0,0,0,4,0,0,0,0,0
Payment.java,0,0,0,0,0,0,4,0,0,0,0,0
Person.java,0,0,0,0,0,0,4,0,0,0,0,0
PersonNames.java,0,0,0,0,0,0,4,0,0,0,0,0
Phone.java,0,0,0,0,0,0,4,0,0,0,0,0
PhoneType.java,0,0,0,0,0,0,4,0,0,0,0,0
WireTransferPayment.java,0,0,0,0,0,0,4,0,0,0,0,0
BidirectionalTwoOneToManyMapsIdTest.java,0,0,0,0,0,0,4,0,0,0,0,0
CompositeIdAssociationTest.java,0,0,0,0,0,0,4,0,0,0,0,0
DerivedIdentifierPrimaryKeyJoinColumnTest.java,0,0,0,0,0,0,4,0,0,0,0,0
DerivedIdentifierTest.java,0,0,0,0,0,0,4,0,0,0,0,0
ManyToManyBidirectionalTest.java,0,0,0,0,0,0,4,0,0,0,0,0
ManyToManyBidirectionalWithLinkEntityTest.java,0,0,0,0,0,0,4,0,0,0,0,0
ManyToManyUnidirectionalTest.java,0,0,0,0,0,0,4,0,0,0,0,0
ManyToOneTest.java,0,0,0,0,0,0,4,0,0,0,0,0
OneToManyBidirectionalTest.java,0,0,0,0,0,0,4,0,0,0,0,0
OneToManyUnidirectionalTest.java,0,0,0,0,0,0,4,0,0,0,0,0
OneToOneBidirectionalTest.java,0,0,0,0,0,0,0,0,1,0,0,0
OneToOneUnidirectionalTest.java,0,0,0,0,0,0,0,0,1,0,0,0
UnidirectionalManyToManyRemoveTest.java,0,0,0,0,0,0,0,0,1,0,0,0
BatchTest.java,0,0,0,0,0,0,0,0,0,0,0,0
BootstrapTest.java,0,0,7,0,0,0,0,0,7,0,0,0
FirstLevelCacheTest.java,0,0,7,0,0,0,0,0,7,0,0,0
NonStrictReadWriteCacheTest.java,0,0,7,0,0,0,0,0,7,0,0,0
SecondLevelCacheTest.java,0,0,7,0,0,0,0,0,7,0,0,0
ArrayTest.java,0,0,7,0,0,0,0,0,7,0,0,0
BasicTypeCollectionTest.java,0,0,7,0,0,0,0,0,7,0,0,0
BasicTypeElementCollectionTest.java,0,0,0,0,0,0,0,0,1,0,0,0
BasicTypeOrderColumnElementCollectionTest.java,0,0,0,0,0,0,0,0,1,0,0,0
